timestamp,sensor_id,flow,speed,occupancy,district,hour,weekday,is_weekend,time_slot,flow_lag_1,flow_lag_2,flow_lag_3,flow_lag_6,flow_lag_12,speed_lag_1,speed_lag_2,speed_lag_3,speed_lag_6,speed_lag_12,occupancy_lag_1,occupancy_lag_2,occupancy_lag_3,occupancy_lag_6,occupancy_lag_12,flow_roll_mean_3,flow_roll_std_3,flow_roll_mean_6,flow_roll_std_6,flow_roll_mean_12,flow_roll_std_12,speed_roll_mean_3,speed_roll_std_3,speed_roll_mean_6,speed_roll_std_6,speed_roll_mean_12,speed_roll_std_12,occupancy_roll_mean_3,occupancy_roll_std_3,occupancy_roll_mean_6,occupancy_roll_std_6,occupancy_roll_mean_12,occupancy_roll_std_12,flow_target,baseline,model,actual,predicted,error,abs_error,squared_error,ape_%,bias_type,delta_from_lag1,abs_delta_from_lag1,flow_regime
2024-02-18 20:20:00,PEMSD3_007,45.68,55.41,0.2921,D3,20,6,1,4,53.53,80.88,58.5,71.54,92.9,63.32,51.88,57.63,49.39,47.82,0.2543,0.4651,0.3264,0.4472,0.5443,60.03,18.478298081803114,61.31,14.137708442317333,66.45083333333334,11.823656916486721,56.870000000000005,5.858079890202554,56.06999999999999,4.095226489462471,53.56916666666667,4.403227036314469,0.3371666666666664,0.11239400933027512,0.3525666666666667,0.08217482988524064,0.38883333333333336,0.07334947893889608,66.55,Baseline_A,5_RandomForest,66.55,59.80022635215229,6.749773647847704,6.749773647847704,45.5594442971793,10.142409688726827,under_predict,13.019999999999996,13.019999999999996,medium_flow
2024-02-18 20:25:00,PEMSD3_007,61.94,53.96,0.3842,D3,20,6,1,4,45.68,53.53,80.88,76.5,62.71,55.41,63.32,51.88,55.32,48.03,0.2921,0.2543,0.4651,0.4361,0.4005,53.71666666666667,8.13160705723637,58.88333333333333,12.113649601446811,66.38666666666667,11.847868495167571,57.56333333333334,5.03785999540763,55.843333333333334,4.181763583305723,54.06333333333333,4.04309137650701,0.3101999999999997,0.06681474388187655,0.34391666666666665,0.07394244834104627,0.387475,0.07326466499183044,62.98,Baseline_A,5_RandomForest,62.98,54.29391323260324,8.686086767396759,8.686086767396759,75.44810333074508,13.791817668143475,under_predict,17.299999999999997,17.299999999999997,medium_flow
2024-02-18 20:30:00,PEMSD3_007,65.77,53.85,0.3627,D3,20,6,1,4,61.94,45.68,53.53,52.77,75.7,53.96,55.41,63.32,52.86,47.26,0.3842,0.2921,0.2543,0.3414,0.487,57.79666666666666,10.666650520819552,61.04999999999999,11.963186866381808,65.55916666666667,11.479297142194048,54.40666666666667,0.8706510973577093,56.00833333333333,4.058213482144799,54.612500000000004,3.437145022993427,0.3463333333333331,0.04818198141768279,0.34746666666666665,0.07430786409706763,0.3771166666666667,0.06637760894833857,52.36,Baseline_A,5_RandomForest,52.36,56.14949113166407,-3.7894911316640716,3.7894911316640716,14.360243036960647,7.2373780207488,over_predict,-9.579999999999998,9.579999999999998,low_flow
2024-02-18 20:35:00,PEMSD3_007,66.55,50.28,0.3994,D3,20,6,1,4,65.77,61.94,45.68,58.5,77.65,53.85,53.96,55.41,57.63,55.25,0.3627,0.3842,0.2921,0.3264,0.4172,64.75333333333333,2.4674345651519007,62.39166666666666,12.070926089850753,64.63416666666667,10.846209608834995,52.69666666666668,2.0936172843504752,54.78333333333333,4.550290833195457,54.19833333333333,3.646410023653888,0.3820999999999997,0.01843990238587052,0.3596333333333333,0.07612278677681335,0.3756333333333333,0.06559471061455838,47.21,Baseline_A,5_RandomForest,47.21,56.77869383795025,-9.56869383795025,9.56869383795025,91.55990176442707,20.26836229178193,over_predict,-18.559999999999995,18.559999999999995,low_flow
2024-02-18 20:40:00,PEMSD3_007,62.98,53.06,0.3729,D3,20,6,1,4,66.55,65.77,61.94,80.88,64.34,50.28,53.85,53.96,51.88,53.91,0.3994,0.3627,0.3842,0.4651,0.3586,65.1,1.8769389974033064,59.40833333333333,8.168993614064924,64.52083333333333,10.85666318930717,52.396666666666675,1.87516221520465,54.98,4.423442098637193,54.1275,3.6607478744100193,0.378333333333333,0.018943688482810927,0.34426666666666667,0.057635706525280765,0.37682499999999997,0.06538669763242608,53.78,Baseline_A,5_RandomForest,53.78,55.68198195835375,-1.9019819583537512,1.9019819583537512,3.6175353699031705,3.5365971706094297,over_predict,-12.769999999999996,12.769999999999996,low_flow
2024-02-18 20:45:00,PEMSD3_007,52.36,59.7,0.2626,D3,20,6,1,4,62.98,66.55,65.77,53.53,77.61,53.06,50.28,53.85,63.32,52.57,0.3729,0.3994,0.3627,0.2543,0.4401,60.629999999999995,7.381117801523647,59.21333333333333,8.349351272202716,62.416666666666664,10.53119982228838,54.34666666666667,4.840013774084761,54.376666666666665,3.1103997599445123,54.72166666666667,3.952011762342639,0.34496666666666637,0.07255179758857758,0.34565,0.05508781171912364,0.3620333333333334,0.06970569734552508,28.19,Baseline_A,5_RandomForest,28.19,54.35139758547521,-26.16139758547521,26.16139758547521,684.4187236253082,92.80382258061444,over_predict,-34.78999999999999,34.78999999999999,low_flow
2024-02-18 20:50:00,PEMSD3_007,47.21,51.98,0.3223,D3,20,6,1,4,52.36,62.98,66.55,45.68,71.54,59.7,53.06,50.28,55.41,49.39,0.2626,0.3729,0.3994,0.2921,0.4472,54.18333333333334,8.041556648640658,59.468333333333334,7.862532458860416,60.389166666666675,10.948832613847838,54.91333333333335,4.180398705067488,53.80500000000001,3.1965090333043946,54.9375,3.6968466292230255,0.31926666666666637,0.05521252877141244,0.3506833333333333,0.05039632592429979,0.351625,0.06499867306339244,52.29,Baseline_A,5_RandomForest,52.29,53.328223948801885,-1.0382239488018854,1.0382239488018854,1.07790896786578,1.9855114721780178,over_predict,-0.07000000000000028,0.07000000000000028,low_flow
2024-02-18 20:55:00,PEMSD3_007,53.78,54.0,0.3291,D3,20,6,1,4,47.21,52.36,62.98,61.94,76.5,51.98,59.7,53.06,53.96,55.32,0.3223,0.2626,0.3729,0.3842,0.4361,51.116666666666674,3.456968807104576,58.10833333333333,8.052918518563988,58.49583333333334,9.815349258207977,55.22666666666668,4.00351512215575,53.81166666666667,3.1969386398026565,54.82749999999999,3.704061959524655,0.30466666666666636,0.036589114956966505,0.34149999999999997,0.04803211425704312,0.34270833333333334,0.05945997061942137,64.5,Baseline_A,5_RandomForest,64.5,55.69170068304865,8.808299316951349,8.808299316951349,77.5861368570056,13.656278010777283,under_predict,17.29,17.29,medium_flow
2024-02-18 21:00:00,PEMSD3_007,28.19,59.16,0.1755,D3,21,6,1,4,53.78,47.21,52.36,65.77,52.77,54.0,51.98,59.7,53.85,52.86,0.3291,0.3223,0.2626,0.3627,0.3414,43.06,13.290180585678792,51.845000000000006,13.60350653324176,56.4475,13.12548605160614,55.046666666666674,3.702665706397194,54.696666666666665,3.8731365411850196,55.3525,3.8436822425658326,0.275633333333333,0.08678463765744625,0.31029999999999996,0.08099548135545494,0.32888333333333336,0.07660626408441835,39.3,Baseline_A,5_RandomForest,39.3,51.41523675409458,-12.115236754094582,12.115236754094582,146.77896160776422,30.827574437899703,over_predict,-14.480000000000004,14.480000000000004,low_flow
2024-02-18 21:05:00,PEMSD3_007,52.29,51.12,0.3452,D3,21,6,1,4,28.19,53.78,47.21,66.55,58.5,59.16,54.0,51.98,50.28,57.63,0.1755,0.3291,0.3223,0.3994,0.3264,44.75333333333333,14.363600987680224,49.468333333333334,11.62193343065658,55.93000000000001,13.159582060232701,54.76000000000001,4.073524272665703,54.836666666666666,3.69253120049954,54.81,3.950928544485964,0.2832666666666664,0.09367520127191725,0.3012666666666667,0.07154150310601935,0.33044999999999997,0.07674297717352699,46.07,Baseline_A,5_RandomForest,46.07,46.410680228899444,-0.34068022889944416,0.34068022889944416,0.11606301836297767,0.7394838916853574,over_predict,17.88,17.88,low_flow
