timestamp,sensor_id,flow,speed,occupancy,district,hour,weekday,is_weekend,time_slot,flow_lag_1,flow_lag_2,flow_lag_3,flow_lag_6,flow_lag_12,speed_lag_1,speed_lag_2,speed_lag_3,speed_lag_6,speed_lag_12,occupancy_lag_1,occupancy_lag_2,occupancy_lag_3,occupancy_lag_6,occupancy_lag_12,flow_roll_mean_3,flow_roll_std_3,flow_roll_mean_6,flow_roll_std_6,flow_roll_mean_12,flow_roll_std_12,speed_roll_mean_3,speed_roll_std_3,speed_roll_mean_6,speed_roll_std_6,speed_roll_mean_12,speed_roll_std_12,occupancy_roll_mean_3,occupancy_roll_std_3,occupancy_roll_mean_6,occupancy_roll_std_6,occupancy_roll_mean_12,occupancy_roll_std_12,flow_target
2024-02-01 01:00:00,PEMSD3_011,16.81,68.29,0.0905,D3,1,3,0,0,56.43,35.22,53.21,51.92,37.22,57.55,60.58,56.29,54.96,57.89,0.3322,0.2124,0.2807,0.326,0.2385,36.15333333333333,19.826483130735348,41.13999999999999,15.503171288481594,42.39666666666667,12.894156769167916,62.14000000000001,5.537336905047404,60.051666666666655,4.283229700432456,58.66916666666666,3.5889032468362165,0.2117,0.12085152047036891,0.2326,0.08813373928297841,0.24267499999999997,0.07605487402945563,28.76
2024-02-01 01:05:00,PEMSD3_011,38.46,59.4,0.2299,D3,1,3,0,0,16.81,56.43,35.22,52.36,49.08,68.29,57.55,60.58,58.66,55.58,0.0905,0.3322,0.2124,0.2942,0.2772,37.233333333333334,19.838463482168507,38.82333333333333,14.497130290739156,41.51166666666666,12.757471132515633,61.74666666666667,5.741692549530436,60.175000000000004,4.245631872878293,58.98749999999999,3.456977463307825,0.21753333333333336,0.12132363056442604,0.22188333333333332,0.08289925009713106,0.23873333333333335,0.07532509340830383,31.91
2024-02-01 01:10:00,PEMSD3_011,40.54,59.34,0.2282,D3,1,3,0,0,38.46,16.81,56.43,32.81,50.72,59.4,68.29,57.55,58.94,58.83,0.2299,0.0905,0.3322,0.1856,0.296,31.936666666666667,13.14129496409442,40.111666666666665,14.196209940215267,40.663333333333334,12.423578999286605,62.343333333333334,5.150051779674963,60.24166666666667,4.225453427345603,59.03,3.457999947421003,0.18286666666666665,0.07999639575214204,0.22898333333333332,0.08097207955009357,0.2330833333333333,0.0731505152325524,55.46
2024-02-01 01:15:00,PEMSD3_011,28.76,59.14,0.178,D3,1,3,0,0,40.54,38.46,16.81,53.21,23.43,59.34,59.4,68.29,56.29,59.39,0.2282,0.2299,0.0905,0.2807,0.1513,35.919999999999995,6.287352383953045,36.03666666666667,13.155395344369806,41.1075,11.832669048789533,59.29333333333333,0.13613718571081448,60.71666666666667,3.834489101127646,59.009166666666665,3.4563866006761104,0.2120333333333333,0.02948598537158506,0.21186666666666668,0.0786755277495276,0.2353083333333333,0.07080525735916063,37.74
2024-02-01 01:20:00,PEMSD3_011,31.91,58.82,0.1904,D3,1,3,0,0,28.76,40.54,38.46,35.22,38.32,59.14,59.34,59.4,60.58,59.91,0.178,0.2282,0.2299,0.2124,0.1847,33.73666666666667,6.09874030709075,35.485,13.26543289908023,40.57333333333333,12.111348797593507,59.1,0.2622975409719492,60.42333333333334,3.9135388929543935,58.91833333333333,3.444863985528007,0.19886666666666666,0.026149059893872457,0.20819999999999997,0.0791568822023709,0.23578333333333334,0.07045312862700516,50.68
2024-02-01 01:25:00,PEMSD3_011,55.46,53.17,0.3718,D3,1,3,0,0,31.91,28.76,40.54,56.43,48.45,58.82,59.14,59.34,57.55,55.05,0.1904,0.178,0.2282,0.3322,0.2813,38.71,14.591178842026437,35.32333333333333,12.961553404845686,41.1575,12.68144107454956,57.04333333333333,3.358218773893879,59.69333333333333,4.852552592880028,58.76166666666666,3.672041377597467,0.24673333333333333,0.10848821748620137,0.2148,0.09214842375211864,0.243325,0.07996949560471622,23.33
2024-02-01 01:30:00,PEMSD3_011,37.74,57.57,0.2481,D3,1,3,0,0,55.46,31.91,28.76,16.81,51.92,53.17,58.82,59.14,68.29,54.96,0.3718,0.1904,0.178,0.0905,0.326,41.70333333333333,12.265057412557564,38.81166666666667,9.274645905190496,39.975833333333334,12.240396204470844,56.52,2.9677432503503387,57.90666666666667,2.416159487009628,58.979166666666664,3.4996427306832714,0.2701,0.09267950150923339,0.24106666666666665,0.0692465642950369,0.23683333333333334,0.07569572262844462,38.42
2024-02-01 01:35:00,PEMSD3_011,50.68,54.1,0.3189,D3,1,3,0,0,37.74,55.46,31.91,38.46,52.36,57.57,53.17,58.82,59.4,58.66,0.2481,0.3718,0.1904,0.2299,0.2942,47.96,9.167791446144475,40.848333333333336,10.449314650572394,39.83583333333333,12.094614472666098,54.946666666666665,2.31897247360407,57.02333333333333,2.7117571179341655,58.59916666666667,3.7742439539916406,0.31293333333333334,0.062065476179058894,0.2559,0.07561560685466993,0.23889166666666664,0.07770657464091596,43.37
2024-02-01 01:40:00,PEMSD3_011,23.33,59.4,0.15,D3,1,3,0,0,50.68,37.74,55.46,40.54,32.81,54.1,57.57,53.17,59.34,58.94,0.3189,0.2481,0.3718,0.2282,0.1856,37.25,13.68158251080627,37.98,12.675754809872277,39.045833333333334,12.87939754261068,57.02333333333333,2.691957156667485,57.03333333333334,2.7220996797815116,58.637499999999996,3.7803514146414807,0.239,0.08481692048170572,0.24286666666666668,0.0871973776364099,0.23592500000000002,0.08055350706207645,18.8
2024-02-01 01:45:00,PEMSD3_011,38.42,55.83,0.2399,D3,1,3,0,0,23.33,50.68,37.74,28.76,53.21,59.4,54.1,57.57,59.14,56.29,0.15,0.3189,0.2481,0.178,0.2807,37.47666666666667,13.699380764594192,39.589999999999996,11.857541060439141,37.81333333333333,12.08382490118192,56.443333333333335,2.7027085180117587,56.48166666666666,2.539018839368191,58.59916666666666,3.808546509516661,0.23626666666666665,0.08450859916797417,0.25318333333333337,0.08146094565291194,0.232525,0.07934379880678079,46.91
