timestamp,sensor_id,flow,speed,occupancy,district
2024-02-01 00:00:00,PEMSD3_007,40.69,53.61,0.3019,D3
2024-02-01 00:05:00,PEMSD3_007,35.34,61.2,0.2259,D3
2024-02-01 00:10:00,PEMSD3_007,48.23,54.87,0.2803,D3
2024-02-01 00:15:00,PEMSD3_007,40.01,60.65,0.2086,D3
2024-02-01 00:20:00,PEMSD3_007,47.15,52.11,0.3292,D3
2024-02-01 00:25:00,PEMSD3_007,41.18,58.69,0.2528,D3
2024-02-01 00:30:00,PEMSD3_007,49.69,50.51,0.3674,D3
2024-02-01 00:35:00,PEMSD3_007,8.35,62.12,0.0822,D3
2024-02-01 00:40:00,PEMSD3_007,46.15,54.79,0.3089,D3
2024-02-01 00:45:00,PEMSD3_007,40.48,59.3,0.2293,D3
2024-02-01 00:50:00,PEMSD3_007,42.62,58.16,0.2611,D3
2024-02-01 00:55:00,PEMSD3_007,36.78,58.82,0.2143,D3
2024-02-01 01:00:00,PEMSD3_007,23.97,65.17,0.1349,D3
2024-02-01 01:05:00,PEMSD3_007,53.57,54.47,0.3182,D3
2024-02-01 01:10:00,PEMSD3_007,35.17,57.18,0.2031,D3
2024-02-01 01:15:00,PEMSD3_007,31.66,59.9,0.1457,D3
2024-02-01 01:20:00,PEMSD3_007,37.94,55.18,0.2483,D3
2024-02-01 01:25:00,PEMSD3_007,39.75,53.98,0.2697,D3
2024-02-01 01:30:00,PEMSD3_007,30.82,59.02,0.2018,D3
2024-02-01 01:35:00,PEMSD3_007,49.88,54.11,0.3065,D3
2024-02-01 01:40:00,PEMSD3_007,57.58,51.27,0.3619,D3
2024-02-01 01:45:00,PEMSD3_007,37.39,54.8,0.2313,D3
2024-02-01 01:50:00,PEMSD3_007,37.98,57.65,0.227,D3
2024-02-01 01:55:00,PEMSD3_007,50.95,54.09,0.341,D3
2024-02-01 02:00:00,PEMSD3_007,60.4,55.71,0.3381,D3
2024-02-01 02:05:00,PEMSD3_007,59.33,54.69,0.3371,D3
2024-02-01 02:10:00,PEMSD3_007,30.3,58.05,0.1952,D3
2024-02-01 02:15:00,PEMSD3_007,33.63,57.79,0.1812,D3
2024-02-01 02:20:00,PEMSD3_007,45.47,56.88,0.2303,D3
2024-02-01 02:25:00,PEMSD3_007,56.09,56.16,0.3067,D3
2024-02-01 02:30:00,PEMSD3_007,50.97,56.05,0.3048,D3
2024-02-01 02:35:00,PEMSD3_007,49.03,56.66,0.2884,D3
2024-02-01 02:40:00,PEMSD3_007,54.45,57.42,0.3091,D3
2024-02-01 02:45:00,PEMSD3_007,34.55,58.73,0.2013,D3
2024-02-01 02:50:00,PEMSD3_007,38.45,60.47,0.2119,D3
2024-02-01 02:55:00,PEMSD3_007,37.67,56.83,0.239,D3
2024-02-01 03:00:00,PEMSD3_007,37.5,60.21,0.217,D3
2024-02-01 03:05:00,PEMSD3_007,36.92,56.95,0.2166,D3
2024-02-01 03:10:00,PEMSD3_007,29.2,63.7,0.1302,D3
2024-02-01 03:15:00,PEMSD3_007,57.92,53.87,0.3666,D3
2024-02-01 03:20:00,PEMSD3_007,26.44,54.92,0.2057,D3
2024-02-01 03:25:00,PEMSD3_007,46.31,57.94,0.2696,D3
2024-02-01 03:30:00,PEMSD3_007,48.83,59.57,0.2164,D3
2024-02-01 03:35:00,PEMSD3_007,27.89,64.07,0.1473,D3
2024-02-01 03:40:00,PEMSD3_007,49.92,53.12,0.3199,D3
2024-02-01 03:45:00,PEMSD3_007,68.29,57.46,0.3989,D3
2024-02-01 03:50:00,PEMSD3_007,44.77,49.78,0.3077,D3
2024-02-01 03:55:00,PEMSD3_007,53.13,57.11,0.3049,D3
2024-02-01 04:00:00,PEMSD3_007,66.51,49.86,0.4153,D3
2024-02-01 04:05:00,PEMSD3_007,42.8,58.35,0.2301,D3
2024-02-01 04:10:00,PEMSD3_007,70.47,53.97,0.4274,D3
2024-02-01 04:15:00,PEMSD3_007,55.41,54.02,0.3213,D3
2024-02-01 04:20:00,PEMSD3_007,43.98,60.57,0.213,D3
2024-02-01 04:25:00,PEMSD3_007,38.14,55.47,0.2504,D3
2024-02-01 04:30:00,PEMSD3_007,56.72,56.79,0.3204,D3
2024-02-01 04:35:00,PEMSD3_007,56.56,55.16,0.342,D3
2024-02-01 04:40:00,PEMSD3_007,47.27,55.81,0.317,D3
2024-02-01 04:45:00,PEMSD3_007,62.68,54.6,0.3953,D3
2024-02-01 04:50:00,PEMSD3_007,63.82,54.6,0.3549,D3
2024-02-01 04:55:00,PEMSD3_007,84.55,58.76,0.4233,D3
2024-02-01 05:00:00,PEMSD3_007,71.74,50.39,0.4265,D3
2024-02-01 05:05:00,PEMSD3_007,46.93,55.32,0.2761,D3
2024-02-01 05:10:00,PEMSD3_007,70.35,54.56,0.3982,D3
2024-02-01 05:15:00,PEMSD3_007,48.27,56.24,0.2932,D3
2024-02-01 05:20:00,PEMSD3_007,90.55,54.44,0.4924,D3
2024-02-01 05:25:00,PEMSD3_007,63.45,50.57,0.3868,D3
2024-02-01 05:30:00,PEMSD3_007,63.05,50.13,0.4013,D3
2024-02-01 05:35:00,PEMSD3_007,84.2,47.46,0.507,D3
2024-02-01 05:40:00,PEMSD3_007,72.7,55.51,0.4012,D3
2024-02-01 05:45:00,PEMSD3_007,81.69,55.52,0.4266,D3
2024-02-01 05:50:00,PEMSD3_007,62.3,56.15,0.3416,D3
2024-02-01 05:55:00,PEMSD3_007,75.34,48.53,0.4818,D3
2024-02-01 06:00:00,PEMSD3_007,78.4,57.52,0.4108,D3
2024-02-01 06:05:00,PEMSD3_007,68.08,52.7,0.3954,D3
2024-02-01 06:10:00,PEMSD3_007,74.58,46.99,0.4794,D3
2024-02-01 06:15:00,PEMSD3_007,84.41,53.94,0.4623,D3
2024-02-01 06:20:00,PEMSD3_007,91.58,51.08,0.4969,D3
2024-02-01 06:25:00,PEMSD3_007,91.01,44.1,0.5582,D3
2024-02-01 06:30:00,PEMSD3_007,82.99,49.07,0.5146,D3
2024-02-01 06:35:00,PEMSD3_007,118.02,42.57,0.701,D3
2024-02-01 06:40:00,PEMSD3_007,89.69,52.84,0.5202,D3
2024-02-01 06:45:00,PEMSD3_007,109.26,50.02,0.6216,D3
2024-02-01 06:50:00,PEMSD3_007,110.65,47.54,0.6541,D3
2024-02-01 06:55:00,PEMSD3_007,126.49,42.56,0.7436,D3
2024-02-01 07:00:00,PEMSD3_007,103.19,47.05,0.5966,D3
2024-02-01 07:05:00,PEMSD3_007,117.9,45.12,0.6747,D3
2024-02-01 07:10:00,PEMSD3_007,122.7,39.75,0.7427,D3
2024-02-01 07:15:00,PEMSD3_007,121.78,45.22,0.7077,D3
2024-02-01 07:20:00,PEMSD3_007,132.99,39.88,0.7776,D3
2024-02-01 07:25:00,PEMSD3_007,127.18,42.09,0.7495,D3
2024-02-01 07:30:00,PEMSD3_007,134.82,40.96,0.8041,D3
2024-02-01 07:35:00,PEMSD3_007,110.64,47.05,0.6203,D3
2024-02-01 07:40:00,PEMSD3_007,127.27,40.81,0.7638,D3
2024-02-01 07:45:00,PEMSD3_007,123.88,42.71,0.7064,D3
2024-02-01 07:50:00,PEMSD3_007,128.79,47.2,0.7029,D3
2024-02-01 07:55:00,PEMSD3_007,136.77,41.46,0.8066,D3
2024-02-01 08:00:00,PEMSD3_007,107.22,50.96,0.5994,D3
2024-02-01 08:05:00,PEMSD3_007,131.7,46.07,0.7262,D3
2024-02-01 08:10:00,PEMSD3_007,121.12,45.48,0.7048,D3
2024-02-01 08:15:00,PEMSD3_007,126.27,43.17,0.7304,D3
2024-02-01 08:20:00,PEMSD3_007,124.72,42.32,0.7473,D3
2024-02-01 08:25:00,PEMSD3_007,125.46,40.05,0.7534,D3
2024-02-01 08:30:00,PEMSD3_007,136.45,42.33,0.7828,D3
2024-02-01 08:35:00,PEMSD3_007,113.81,45.98,0.6644,D3
2024-02-01 08:40:00,PEMSD3_007,98.64,48.9,0.5618,D3
2024-02-01 08:45:00,PEMSD3_007,113.09,46.95,0.6591,D3
2024-02-01 08:50:00,PEMSD3_007,128.33,42.58,0.7612,D3
2024-02-01 08:55:00,PEMSD3_007,114.02,41.89,0.7021,D3
2024-02-01 09:00:00,PEMSD3_007,113.63,44.86,0.6711,D3
2024-02-01 09:05:00,PEMSD3_007,132.32,44.02,0.761,D3
2024-02-01 09:10:00,PEMSD3_007,129.2,37.41,0.7791,D3
2024-02-01 09:15:00,PEMSD3_007,106.63,43.71,0.6392,D3
2024-02-01 09:20:00,PEMSD3_007,117.68,44.63,0.686,D3
2024-02-01 09:25:00,PEMSD3_007,115.66,44.65,0.6796,D3
2024-02-01 09:30:00,PEMSD3_007,103.74,48.59,0.5985,D3
2024-02-01 09:35:00,PEMSD3_007,88.17,47.66,0.5488,D3
2024-02-01 09:40:00,PEMSD3_007,88.42,49.91,0.5408,D3
2024-02-01 09:45:00,PEMSD3_007,96.79,45.63,0.5824,D3
2024-02-01 09:50:00,PEMSD3_007,70.49,49.84,0.4368,D3
2024-02-01 09:55:00,PEMSD3_007,101.67,43.78,0.6106,D3
2024-02-01 10:00:00,PEMSD3_007,85.19,51.35,0.4919,D3
2024-02-01 10:05:00,PEMSD3_007,71.39,56.73,0.3922,D3
2024-02-01 10:10:00,PEMSD3_007,51.14,54.14,0.3172,D3
2024-02-01 10:15:00,PEMSD3_007,100.09,50.9,0.575,D3
2024-02-01 10:20:00,PEMSD3_007,89.65,50.71,0.5203,D3
2024-02-01 10:25:00,PEMSD3_007,77.41,53.51,0.4432,D3
2024-02-01 10:30:00,PEMSD3_007,84.55,54.8,0.4504,D3
2024-02-01 10:35:00,PEMSD3_007,83.53,47.76,0.5084,D3
2024-02-01 10:40:00,PEMSD3_007,59.36,62.83,0.2986,D3
2024-02-01 10:45:00,PEMSD3_007,57.23,54.97,0.3195,D3
2024-02-01 10:50:00,PEMSD3_007,91.69,50.01,0.5196,D3
2024-02-01 10:55:00,PEMSD3_007,67.46,55.68,0.377,D3
2024-02-01 11:00:00,PEMSD3_007,70.34,57.58,0.3509,D3
2024-02-01 11:05:00,PEMSD3_007,55.15,55.57,0.3227,D3
2024-02-01 11:10:00,PEMSD3_007,86.47,48.43,0.5273,D3
2024-02-01 11:15:00,PEMSD3_007,54.53,56.4,0.3101,D3
2024-02-01 11:20:00,PEMSD3_007,68.07,48.98,0.4252,D3
2024-02-01 11:25:00,PEMSD3_007,56.51,60.27,0.3209,D3
2024-02-01 11:30:00,PEMSD3_007,48.29,56.66,0.2753,D3
2024-02-01 11:35:00,PEMSD3_007,48.46,57.19,0.2756,D3
2024-02-01 11:40:00,PEMSD3_007,53.42,50.56,0.3382,D3
2024-02-01 11:45:00,PEMSD3_007,39.48,56.78,0.2586,D3
2024-02-01 11:50:00,PEMSD3_007,44.01,54.01,0.2996,D3
2024-02-01 11:55:00,PEMSD3_007,52.6,51.91,0.3135,D3
2024-02-01 12:00:00,PEMSD3_007,32.86,59.42,0.2131,D3
2024-02-01 12:05:00,PEMSD3_007,46.95,54.85,0.2839,D3
2024-02-01 12:10:00,PEMSD3_007,35.85,59.57,0.2036,D3
2024-02-01 12:15:00,PEMSD3_007,44.26,59.36,0.2461,D3
2024-02-01 12:20:00,PEMSD3_007,53.2,58.37,0.2686,D3
2024-02-01 12:25:00,PEMSD3_007,36.09,59.33,0.1855,D3
2024-02-01 12:30:00,PEMSD3_007,52.49,61.57,0.2707,D3
2024-02-01 12:35:00,PEMSD3_007,45.85,49.21,0.3275,D3
2024-02-01 12:40:00,PEMSD3_007,61.52,48.06,0.402,D3
2024-02-01 12:45:00,PEMSD3_007,59.09,55.9,0.3226,D3
2024-02-01 12:50:00,PEMSD3_007,52.67,52.23,0.3287,D3
2024-02-01 12:55:00,PEMSD3_007,39.35,62.19,0.2062,D3
